AAA,BBB,CCC,DDD,EEE
5.00,10.00,7.50,12.00,15.00
4.95,10.02,7.45,12.10,15.24
4.91,10.16,7.59,12.21,15.08
4.95,10.22,7.72,12.23,15.05
4.97,10.35,7.62,12.32,15.22
5.07,10.20,7.59,12.40,15.43
5.04,10.27,7.64,12.42,15.43
5.05,10.29,7.71,12.24,15.49
5.09,10.34,7.80,12.01,15.26
5.17,10.32,7.82,12.27,15.39
5.24,10.33,7.71,12.39,15.66
5.27,10.41,7.78,12.31,15.62
5.28,10.42,7.94,12.53,15.47
5.37,10.40,7.85,12.48,15.36
5.48,10.38,7.81,12.44,15.38
5.37,10.25,7.68,12.35,15.31
5.40,10.23,7.71,12.43,15.33
5.36,10.18,7.73,12.30,15.02
5.32,10.08,7.70,12.43,15.23
5.30,10.25,7.61,12.47,15.23
5.25,10.19,7.60,12.25,15.23
5.26,10.06,7.64,12.31,15.21
5.38,9.83,7.74,12.22,15.23
5.35,9.66,7.65,12.32,15.30
5.29,9.72,7.62,12.17,15.01
5.19,9.81,7.60,12.28,15.15
5.19,9.85,7.63,12.24,15.05
5.14,9.88,7.62,12.31,15.18
5.09,9.91,7.57,12.40,15.37
5.07,9.88,7.61,12.21,15.61
5.06,9.84,7.48,12.21,15.39
5.01,9.84,7.57,12.40,15.38
4.97,9.83,7.51,12.23,15.35
4.98,9.86,7.55,12.43,15.17
4.89,9.93,7.56,12.39,15.16
4.82,9.87,7.70,12.44,15.26
4.84,9.78,7.67,12.48,15.49
4.92,9.72,7.69,12.48,15.34
4.98,9.65,7.79,12.50,15.25
5.03,9.50,7.79,12.52,15.09
5.17,9.77,8.01,12.34,15.22
5.15,9.72,8.10,12.42,15.23
5.20,9.77,7.98,12.30,15.04
5.31,9.83,7.95,12.41,14.87
5.31,10.03,7.99,12.26,14.91
5.29,9.99,8.08,12.24,15.09
5.30,9.94,8.05,12.06,15.09
5.22,10.08,7.96,12.13,15.24
5.22,10.14,8.03,12.31,15.38
5.15,10.30,8.02,12.33,15.23
5.21,10.32,8.07,12.26,15.15
5.27,10.29,8.16,12.38,15.00
5.24,10.45,8.15,12.26,15.13
5.30,10.64,8.06,12.07,15.31
5.22,10.45,8.02,12.19,15.32
5.27,10.26,8.11,12.08,15.60
5.22,10.24,8.24,12.17,15.58
5.20,10.16,8.19,12.36,15.94
5.19,10.22,8.19,12.46,16.03
5.15,10.42,8.12,12.38,15.75
5.09,10.28,8.11,12.46,16.10
5.09,10.21,8.04,12.39,15.91
5.11,10.25,7.99,12.61,15.83
5.20,10.20,8.11,12.64,15.92
5.26,10.19,8.14,12.68,15.51
5.14,10.18,8.13,12.83,15.43
5.19,10.14,8.12,12.79,15.40
5.14,10.08,8.10,12.70,15.33
5.14,10.03,8.09,12.67,15.26
5.21,10.08,8.06,12.83,15.09
5.24,10.27,8.08,12.69,15.11
5.29,10.28,8.11,12.65,15.02
5.26,10.08,8.17,12.50,15.00
5.17,10.08,8.34,12.51,15.29
5.18,10.11,8.35,12.73,15.11
5.20,10.02,8.27,12.86,15.04
5.19,10.05,8.29,12.56,14.88
5.16,10.06,8.39,12.61,15.13
5.27,10.22,8.44,12.57,14.98
5.31,9.97,8.62,12.55,15.02
5.37,10.13,8.64,12.79,15.13
5.41,10.01,8.54,12.95,14.76
5.46,9.96,8.48,12.96,14.84
5.53,9.87,8.56,12.83,14.98
5.49,9.87,8.48,12.70,14.96
5.41,10.05,8.44,12.85,15.04
5.50,10.10,8.39,12.87,15.18
5.47,10.16,8.24,12.85,15.02
5.58,10.05,8.21,12.78,14.93
5.63,10.00,8.20,12.64,14.89
5.60,9.98,8.09,12.54,15.04
5.56,9.80,8.19,12.46,15.19
5.60,9.88,8.26,12.41,15.22
5.62,9.84,8.18,12.50,14.91
5.64,9.68,8.26,12.35,15.22
5.61,9.79,8.20,12.23,15.25
5.56,9.84,8.16,12.17,15.21
5.48,9.81,8.08,12.08,15.28
5.49,9.79,7.95,12.14,15.22
5.47,9.92,8.12,11.93,15.01
5.44,10.04,8.00,11.97,15.08
5.48,9.98,7.96,11.84,15.14
5.49,9.81,8.04,11.64,15.17
5.54,9.86,8.05,11.52,15.37
5.48,9.90,7.99,11.61,15.34
5.53,10.02,8.14,11.54,15.40
5.54,10.06,8.01,11.48,15.32
5.48,10.11,7.96,11.52,15.66
5.55,10.07,7.91,11.51,15.52
5.60,10.15,7.99,11.46,15.51
5.66,10.10,7.98,11.33,15.39
5.59,9.92,8.02,11.59,15.44
5.64,9.98,8.05,11.51,15.54
5.60,10.11,8.14,11.68,15.64
5.53,10.25,8.14,11.68,15.55
5.60,10.35,8.17,11.44,15.53
5.66,10.33,8.27,11.39,15.58
5.62,10.32,8.32,11.43,15.64
5.64,10.13,8.38,11.57,15.82
5.61,10.08,8.36,11.51,15.98
5.65,9.97,8.36,11.48,16.19
5.64,10.04,8.34,11.53,16.38
5.62,10.00,8.45,11.46,16.61
5.62,9.90,8.57,11.43,16.60
5.67,9.78,8.46,11.47,16.53
5.61,9.77,8.57,11.39,16.60
5.61,9.77,8.58,11.45,16.70
5.64,9.62,8.49,11.48,16.66
5.67,9.58,8.50,11.60,16.70
5.75,9.66,8.40,11.50,16.62
5.78,9.66,8.37,11.59,16.50
5.77,9.57,8.34,11.63,16.33
5.75,9.55,8.33,11.71,16.33
5.80,9.58,8.28,11.73,16.12
5.76,9.54,8.31,11.85,16.16
5.74,9.77,8.29,12.00,16.05
5.69,9.77,8.36,11.84,16.15
5.61,9.79,8.30,11.81,16.04
5.64,9.85,8.27,12.02,16.14
5.54,9.88,8.33,11.95,16.07
5.51,10.08,8.26,11.61,16.05
5.57,10.06,8.26,11.61,16.27
5.54,10.14,8.14,11.58,16.08
5.56,10.10,8.12,11.65,16.04
5.54,10.02,7.99,11.61,16.02
5.59,10.07,7.87,11.66,16.25
5.45,10.15,7.96,11.76,16.07
5.42,10.28,7.83,11.72,16.22
5.42,10.20,7.78,11.83,16.49
5.43,10.10,7.72,11.96,16.60
5.49,10.09,7.74,12.16,16.61
5.41,10.27,7.66,12.17,16.45
5.44,10.33,7.69,12.35,16.54
5.48,10.37,7.70,12.23,16.71
5.50,10.31,7.71,12.14,16.55
5.55,10.49,7.68,12.24,16.64
5.69,10.39,7.68,12.22,16.64
5.65,10.16,7.60,12.04,16.76
5.66,10.13,7.62,11.87,17.01
5.70,10.11,7.58,11.95,17.29
5.74,10.21,7.60,11.99,17.23
5.63,10.08,7.69,11.89,17.18
5.59,10.00,7.72,12.05,17.14
5.64,10.03,7.73,12.05,17.05
5.65,9.99,7.65,12.21,17.35
5.67,10.04,7.55,12.08,17.31
5.58,10.07,7.48,12.11,17.40
5.60,10.11,7.51,12.24,17.60
5.57,10.23,7.62,12.41,17.65
5.63,10.17,7.59,12.41,17.87
5.62,10.30,7.70,12.42,17.76
5.64,10.21,7.80,12.44,17.81
5.51,10.24,7.84,12.39,17.90
5.52,10.32,7.77,12.19,17.81
5.49,10.28,7.85,12.14,17.82
5.44,10.32,7.70,12.23,17.93
5.40,10.23,7.84,12.21,17.79
5.29,10.39,7.89,12.20,17.87
5.25,10.52,7.96,12.33,18.05
5.14,10.55,7.86,12.40,18.08
5.14,10.61,7.80,12.51,18.25
5.07,10.63,7.77,12.68,18.14
5.09,10.68,7.85,12.70,18.00
